XML:ID	InVersion	AlsoUsedIn	nonW	InParSegs	ChapterLocators	Vol	Label	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/0/full/full/0/default.jpg	Huntington	Thumbnail	surfaceGrp	surfaceGrp type (single leaf/bifolio)	surface type (r/v)	surface type resp	surfaceGrp/surface type cert	Notes
hm924v1n0						1	Front cover	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/0/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/0	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/0/full/150,/0/default.jpg						
hm924v1n1						1	Inside front cover	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1/full/150,/0/default.jpg						
hm924v1n2						1	envelope recto	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/2/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/2	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/2/full/150,/0/default.jpg						
hm924v1n3						1	envelope verso	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/3/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/3	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/3/full/150,/0/default.jpg						
hm924v1n4						1	note on reddish paper recto	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/4/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/4	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/4/full/150,/0/default.jpg						
hm924v1n5						1	note on reddish paper verso	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/5/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/5	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/5/full/150,/0/default.jpg						
hm924v1n6						1	note on reddish paper recto	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/6/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/6	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/6/full/150,/0/default.jpg						
hm924v1n7						1	note on reddish paper verso	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/7/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/7	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/7/full/150,/0/default.jpg						
hm924v1n8	A			E-2a		1	p. 1	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/8/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/8	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/8/full/150,/0/default.jpg	1	single leaf	r	BW		
hm924v1n9	A			E-2a E-2b E-2c E-3b		1	p. 2	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/9/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/9	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/9/full/150,/0/default.jpg	1	single leaf	v	BW		
hm924v1n10	A			E-3b E-4 E-5a		1	p. 3	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/10/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/10	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/10/full/150,/0/default.jpg	2	single leaf	r	BW		
hm924v1n11	A		T			1	p. 4	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/11/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/11	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/11/full/150,/0/default.jpg	2	single leaf	v	BW		Not in Walden: related to a February 1, 1852, Journal entry that in turn is associated with T's essay "Life without Principle," delivered as lectures titled "What Shall It Profit?" and "Life Misspent," from Dec 6, 1854, through Sept 9, 1860. Brad Dean writes that the inception of LwP was an index of J passages headed "Art of Life" that T compiled in late October 1854 ("Reconstruction of T's Early  'LwP' Lectures," [SAR 1987, p. 288]). The Feb 1, 1852, J passages are revised in ink and pencil and have a vertical use mark drawn through them vertically in pencil. Evidence that this paragraph was added to this leaf after A was composed in 1846-47: 1) "how many in the last month have started for California" refers to the gold rush, which began in earnest in 1849. 2) relationship of contents to 1852 J entry, noted above. 3) first level of handwriting on recto is carefully spaced and runs on as part of a larger work, prob lecture, because written on one side of leaf; paragraph on verso stands alone, hand is looser, suitable for a note to self but not for reading from the lecture stage. T could have chosen this leaf (or this leaf with others) as he was compiling material for LwP because contents of recto also fit "Art of Life" theme. Perhaps in 1854 T added it to that material; if so, somewhere along the line of transmission someone (Sanborn? the dealer George Hellman?) sorted it in with the leaves of A. BW 5.27.20
hm924v1n12	A			E-5a E-6 E-7		1	p. 5	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/12/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/12	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/12/full/150,/0/default.jpg		single leaf	r	BW		T's "3" in pencil in upper right corner
hm924v1n13	A			E-7		1	p. 6	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/13/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/13	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/13/full/150,/0/default.jpg		single leaf	v	BW		
